Table 6. Relevant International Organization for Standardization (ISO) Frameworks and Specifications,
ISO/TS 8932:2023,Genomics informatics — Description rules for genomic data for genetic detection products and services
ISO 14971:2019,Medical devices — Application of risk management to medical devices
ISO/TS 20428:2024,Genomics Informatics — Data elements and their metadata for describing structured clinical genomic sequence information in electronic health records
ISO/DIS 22692,Genomics informatics — Quality control metrics for DNA sequencing
ISO/TS 22692:2020,Genomics informatics — Quality control metrics for DNA sequencing
ISO/WD 25430-2,Biotechnology — Organoids Part 2: Manufacturing and quality control
ISO/WD 25430-3,Biotechnology — Organoids Part 3: Endpoint quality assessment of intestinal organoids
ISO/WD 26125-1,Biotechnology — Tumorigenicity testing Part 1: General requirements and considerations for testing of cellular therapeutic products
