"Table 1. Criteria, Timing & Communication, and Approval Mechanisms for Expedited Programs",,,
Expedited Program,Criteria,Approval Mechanism,Timing & Communication
Fast Track,Serious condition; potential to address unmet medical need,Frequent meetings; rolling review (early section submission),Any time during development; high communication
Breakthrough Therapy,Serious condition; preliminary clinical evidence of substantial improvement over current therapy,All Fast Track features plus intensive FDA guidance and senior management involvement,No later than end-of-phase 2 meetings; very high communication
Accelerated Approval,Serious condition; meaningful advantage over available therapy; approved based on surrogate endpoint (refer to intermediate clinical endpoint),"Approval based on proxy markers (for example, lab tests) instead of clinical endpoints; confirmatory trials (Phase III) verify clinical benefit, efficacy, and safety; post-marketing trials (Phase IV) required",Early in development to discuss endpoints; at NDA/BLA submission; standard/high communication
Priority Review,Serious condition; significant improvement in safety or effectiveness,Shortened review goal of 6 months (as opposed to 10 months for standard review),At NDA/BLA submission; standard communication
